player,tournament id,date,sg_putt,sg_arg,sg_app,sg_ott,sg_total,Finish,made_cut,finish_position
Abraham Ancer,401353224,2022-06-05,0.2,-0.13,-0.08,0.86,0.85,T32,1,32.0
Adam Hadwin,401353224,2022-06-05,0.36,0.75,0.31,0.18,1.6,T18,1,18.0
Aaron Rai,401353224,2022-06-05,2.05,0.74,-1.32,-0.12,1.35,T26,1,26.0
Adam Schenk,401353224,2022-06-05,-0.96,-0.01,1.84,0.48,1.35,T26,1,26.0
Adam Scott,401353224,2022-06-05,-0.82,-1.79,2.0,-1.04,-1.65,T67,1,67.0
Adam Svensson,401353224,2022-06-05,0.28,-0.02,-0.18,0.26,0.35,T45,1,45.0
Aaron Wise,401353224,2022-06-05,1.16,0.05,1.96,0.18,3.35,2,1,2.0
Brian Harman,401353224,2022-06-05,0.12,0.66,0.17,0.65,1.6,T18,1,18.0
Billy Horschel,401353224,2022-06-05,0.95,1.31,1.25,0.84,4.35,1,1,1.0
Beau Hossler,401353224,2022-06-05,1.94,0.43,-1.5,-0.03,0.85,T32,1,32.0
Brandt Snedeker,401353224,2022-06-05,1.12,0.25,-1.1,-0.92,-0.65,T60,1,60.0
Brendan Steele,401353224,2022-06-05,0.2,-0.22,1.26,0.86,2.1,T10,1,10.0
Brandon Wu,401353224,2022-06-05,-2.44,0.3,0.12,0.12,-1.9,69,1,69.0
Corey Conners,401353224,2022-06-05,-0.24,-0.47,2.03,0.53,1.85,T13,1,13.0
Cameron Davis,401353224,2022-06-05,0.19,-0.88,0.88,-0.6,-0.4,T53,1,53.0
Charles Howell III,401353224,2022-06-05,0.52,-0.36,1.03,0.4,1.6,T18,1,18.0
Chan Kim,401353224,2022-06-05,-1.4,-0.98,0.53,0.19,-1.65,T67,1,67.0
Chris Kirk,401353224,2022-06-05,-0.02,0.45,-1.28,0.45,-0.4,T53,1,53.0
Carlos Ortiz,401353224,2022-06-05,0.88,-0.44,-0.8,-0.55,-0.9,T64,1,64.0
C.T. Pan,401353224,2022-06-05,-0.36,0.21,0.79,-1.05,-0.4,T53,1,53.0
Cameron Smith,401353224,2022-06-05,0.75,1.38,0.17,-0.49,1.76,T13,1,13.0
Cameron Tringale,401353224,2022-06-05,-0.18,0.35,-0.67,0.59,0.1,T48,1,48.0
Camilo Villegas,401353224,2022-06-05,-0.71,0.52,0.01,-0.22,-0.4,T53,1,53.0
Cameron Young,401353224,2022-06-05,-0.68,0.32,-1.18,0.89,-0.65,T60,1,60.0
Daniel Berger,401353224,2022-06-05,1.65,-0.5,1.34,0.1,2.6,T5,1,5.0
Doug Ghim,401353224,2022-06-05,-0.6,-1.17,0.41,0.71,-0.65,T60,1,60.0
David Lingmerth,401353224,2022-06-05,0.09,-0.8,1.05,-0.24,0.1,T48,1,48.0
David Lipsky,401353224,2022-06-05,0.46,0.27,0.31,-0.43,0.6,T37,1,37.0
Denny McCarthy,401353224,2022-06-05,1.21,1.76,0.53,-0.71,2.76,T5,1,5.0
Davis Riley,401353224,2022-06-05,0.73,0.12,1.28,-0.29,1.85,T13,1,13.0
Emiliano Grillo,401353224,2022-06-05,-0.48,1.04,-1.0,1.28,0.85,T32,1,32.0
Francesco Molinari,401353224,2022-06-05,0.59,0.7,0.57,-0.51,1.35,T26,1,26.0
Garrick Higgo,401353224,2022-06-05,0.81,-0.99,1.68,0.1,1.6,T18,1,18.0
Joel Dahmen,401353224,2022-06-05,0.26,0.36,-0.2,0.42,0.85,T32,1,32.0
Jason Day,401353224,2022-06-05,1.04,0.81,-0.87,0.13,1.1,31,1,31.0
Joaquin Niemann,401353224,2022-06-05,0.67,-0.57,1.58,1.18,2.85,T3,1,3.0
J.T. Poston,401353224,2022-06-05,0.7,-0.42,0.61,-0.3,0.6,T37,1,37.0
Jon Rahm,401353224,2022-06-05,1.4,0.48,0.72,-0.51,2.1,T10,1,10.0
Jordan Spieth,401353224,2022-06-05,1.26,0.64,-0.67,0.37,1.6,T18,1,18.0
Jhonattan Vegas,401353224,2022-06-05,-0.28,0.11,0.46,0.3,0.6,T37,1,37.0
Keegan Bradley,401353224,2022-06-05,0.85,-0.52,0.07,0.2,0.6,T37,1,37.0
Kramer Hickok,401353224,2022-06-05,-0.94,0.61,-0.61,0.05,-0.9,T64,1,64.0
Kyoung-Hoon Lee,401353224,2022-06-05,-1.06,0.1,0.75,-0.19,-0.4,T53,1,53.0
Keith Mitchell,401353224,2022-06-05,0.65,0.61,-0.19,0.52,1.6,T18,1,18.0
Lucas Glover,401353224,2022-06-05,0.1,-0.41,-0.64,0.29,-0.65,T60,1,60.0
Lanto Griffin,401353224,2022-06-05,-0.02,0.64,0.1,-0.87,-0.15,T51,1,51.0
Lucas Herbert,401353224,2022-06-05,0.67,0.87,-1.14,-0.3,0.1,T48,1,48.0
Luke List,401353224,2022-06-05,0.68,0.52,0.31,-0.17,1.35,T26,1,26.0
Max Homa,401353224,2022-06-05,1.09,0.67,0.73,0.11,2.6,T5,1,5.0
Mackenzie Hughes,401353224,2022-06-05,0.34,0.87,0.46,-1.07,0.6,T37,1,37.0
Matt Kuchar,401353224,2022-06-05,0.86,0.34,-0.35,-0.51,0.35,T45,1,45.0
Martin Laird,401353224,2022-06-05,-0.44,0.61,0.46,-0.03,0.6,T37,1,37.0
Matthew NeSmith,401353224,2022-06-05,0.1,-0.24,0.63,0.11,0.6,T37,1,37.0
Mito Pereira,401353224,2022-06-05,-0.53,0.42,1.12,0.84,1.85,T13,1,13.0
Patrick Cantlay,401353224,2022-06-05,1.09,0.26,0.79,0.7,2.85,T3,1,3.0
Pat Perez,401353224,2022-06-05,0.3,0.8,0.69,-0.45,1.35,T26,1,26.0
Patrick Reed,401353224,2022-06-05,-0.48,0.85,-0.64,-0.13,-0.4,T53,1,53.0
Rickie Fowler,401353224,2022-06-05,-0.8,-0.28,0.01,0.16,-0.9,T64,1,64.0
Ryan Moore,401353224,2022-06-05,-0.73,-0.61,-0.54,-0.78,-2.65,70,1,70.0
Sungjae Im,401353224,2022-06-05,0.38,0.15,0.91,0.66,2.1,T10,1,10.0
Si Woo Kim,401353224,2022-06-05,0.35,0.94,0.1,0.46,1.85,T13,1,13.0
Shane Lowry,401353224,2022-06-05,0.18,0.5,0.32,-0.15,0.85,T32,1,32.0
Sepp Straka,401353224,2022-06-05,0.81,-0.52,0.0,0.06,0.35,T45,1,45.0
Sahith Theegala,401353224,2022-06-05,0.06,0.4,1.48,0.65,2.6,T5,1,5.0
Troy Merritt,401353224,2022-06-05,0.0,0.17,-0.55,-0.03,-0.4,T53,1,53.0
Viktor Hovland,401353224,2022-06-05,1.46,-1.49,-0.22,0.1,-0.15,T51,1,51.0
Wyndham Clark,401353224,2022-06-05,0.03,1.07,0.04,-0.54,0.6,T37,1,37.0
Will Zalatoris,401353224,2022-06-05,0.37,-0.13,1.19,1.16,2.6,T5,1,5.0
Xander Schauffele,401353224,2022-06-05,-0.35,0.7,1.88,-0.63,1.6,T18,1,18.0
