Distance,Tee,Fairway,Rough,Sand
3,,2,2.16,2.25
4,,2.03,2.19,2.28
5,,2.05,2.21,2.3
6,,2.08,2.24,2.32
7,,2.1,2.26,2.35
8,,2.13,2.29,2.37
9,,2.15,2.31,2.4
10,,2.18,2.34,2.43
11,,2.2,2.37,2.44
12,,2.23,2.4,2.45
13,,2.25,2.42,2.46
14,,2.28,2.45,2.47
15,,2.3,2.48,2.48
16,,2.32,2.5,2.49
17,,2.34,2.53,2.5
18,,2.36,2.55,2.51
19,,2.38,2.57,2.52
20,,2.4,2.59,2.53
21,,2.42,2.61,2.54
22,,2.43,2.62,2.55
23,,2.45,2.63,2.56
24,,2.46,2.64,2.58
25,,2.47,2.65,2.59
26,,2.48,2.66,2.6
27,,2.49,2.67,2.61
28,,2.5,2.68,2.63
29,,2.51,2.69,2.64
30,,2.52,2.7,2.66
31,,2.53,2.71,2.67
32,,2.54,2.71,2.69
33,,2.55,2.72,2.71
34,,2.55,2.73,2.73
35,,2.56,2.74,2.75
36,,2.57,2.75,2.76
37,,2.58,2.75,2.8
38,,2.59,2.76,2.8
39,,2.59,2.77,2.81
40,,2.6,2.78,2.82
41,,2.61,2.79,2.83
42,,2.61,2.8,2.84
43,,2.62,2.81,2.85
44,,2.63,2.82,2.86
45,,2.63,2.83,2.87
46,,2.64,2.84,2.88
47,,2.64,2.85,2.89
48,,2.65,2.85,2.9
49,,2.65,2.86,2.91
50,,2.66,2.87,2.92
51,,2.67,2.87,2.94
52,,2.67,2.88,2.96
53,,2.67,2.88,2.99
54,,2.68,2.88,3.01
55,,2.68,2.89,3.04
56,,2.69,2.89,3.06
57,,2.69,2.89,3.09
58,,2.69,2.9,3.11
59,,2.7,2.9,3.13
60,,2.7,2.91,3.15
61,,2.7,2.91,3.17
62,,2.7,2.91,3.18
63,,2.71,2.92,3.19
64,,2.71,2.92,3.19
65,,2.71,2.92,3.2
66,,2.71,2.92,3.2
67,,2.71,2.92,3.2
68,,2.72,2.93,3.21
69,,2.72,2.93,3.21
70,,2.72,2.93,3.21
71,,2.72,2.93,3.21
72,,2.73,2.94,3.22
73,,2.73,2.94,3.22
74,,2.73,2.94,3.22
75,,2.73,2.94,3.23
76,,2.74,2.95,3.23
77,,2.74,2.95,3.23
78,,2.74,2.95,3.23
79,,2.75,2.96,3.24
80,,2.75,2.96,3.24
81,,2.75,2.96,3.24
82,,2.75,2.97,3.24
83,,2.76,2.97,3.24
84,,2.76,2.97,3.24
85,,2.76,2.98,3.24
86,,2.76,2.98,3.24
87,,2.76,2.98,3.24
88,,2.77,2.99,3.24
89,,2.77,2.99,3.24
90,,2.77,2.99,3.24
91,,2.77,2.99,3.24
92,,2.78,3,3.24
93,,2.78,3,3.24
94,,2.78,3,3.24
95,,2.78,3.01,3.24
96,,2.79,3.01,3.24
97,,2.79,3.01,3.23
98,,2.79,3.01,3.23
99,,2.8,3.02,3.23
100,2.92,2.8,3.02,3.23
101,2.92,2.8,3.02,3.23
102,2.93,2.81,3.03,3.23
103,2.93,2.81,3.03,3.23
104,2.94,2.81,3.03,3.23
105,2.94,2.81,3.03,3.22
106,2.95,2.82,3.04,3.22
107,2.95,2.82,3.04,3.22
108,2.96,2.82,3.04,3.22
109,2.96,2.82,3.05,3.22
110,2.96,2.83,3.05,3.22
111,2.97,2.83,3.05,3.22
112,2.97,2.83,3.06,3.22
113,2.98,2.83,3.06,3.22
114,2.98,2.84,3.06,3.21
115,2.98,2.84,3.06,3.21
116,2.98,2.84,3.07,3.21
117,2.99,2.84,3.07,3.21
118,2.99,2.84,3.07,3.21
119,2.99,2.85,3.08,3.21
120,2.99,2.85,3.08,3.21
121,2.99,2.85,3.08,3.21
122,2.99,2.86,3.09,3.21
123,2.99,2.86,3.09,3.21
124,2.99,2.86,3.09,3.21
125,2.99,2.86,3.1,3.21
126,2.99,2.87,3.1,3.21
127,2.99,2.87,3.1,3.21
128,2.99,2.88,3.11,3.21
129,2.99,2.88,3.11,3.21
130,2.98,2.88,3.11,3.21
131,2.98,2.88,3.12,3.21
132,2.98,2.88,3.12,3.21
133,2.98,2.89,3.12,3.21
134,2.98,2.89,3.13,3.21
135,2.98,2.89,3.13,3.21
136,2.97,2.9,3.13,3.21
137,2.97,2.9,3.14,3.22
138,2.97,2.9,3.14,3.22
139,2.97,2.91,3.14,3.22
140,2.97,2.91,3.15,3.22
141,2.97,2.91,3.15,3.22
142,2.97,2.92,3.16,3.22
143,2.97,2.92,3.16,3.23
144,2.97,2.92,3.17,3.23
145,2.97,2.93,3.17,3.23
146,2.97,2.93,3.17,3.23
147,2.97,2.93,3.18,3.23
148,2.97,2.94,3.18,3.24
149,2.97,2.94,3.19,3.24
150,2.97,2.94,3.19,3.24
151,2.97,2.95,3.19,3.25
152,2.97,2.95,3.2,3.25
153,2.98,2.95,3.2,3.25
154,2.98,2.96,3.21,3.26
155,2.98,2.96,3.21,3.26
156,2.98,2.96,3.21,3.27
157,2.98,2.97,3.22,3.27
158,2.99,2.97,3.22,3.27
159,2.99,2.98,3.23,3.28
160,2.99,2.98,3.23,3.28
161,2.99,2.98,3.23,3.28
162,2.99,2.99,3.24,3.29
163,3,2.99,3.24,3.29
164,3,3,3.24,3.3
165,3,3,3.25,3.3
166,3.01,3.01,3.25,3.31
167,3.01,3.01,3.26,3.32
168,3.01,3.02,3.26,3.32
169,3.01,3.02,3.26,3.33
170,3.02,3.03,3.27,3.33
171,3.02,3.03,3.27,3.34
172,3.02,3.04,3.28,3.35
173,3.03,3.04,3.28,3.35
174,3.03,3.05,3.28,3.36
175,3.03,3.05,3.29,3.37
176,3.04,3.06,3.29,3.37
177,3.04,3.06,3.3,3.38
178,3.04,3.07,3.3,3.39
179,3.05,3.07,3.31,3.39
180,3.05,3.08,3.31,3.4
181,3.06,3.08,3.31,3.41
182,3.06,3.09,3.32,3.42
183,3.06,3.1,3.32,3.42
184,3.06,3.1,3.33,3.43
185,3.07,3.11,3.34,3.44
186,3.07,3.11,3.34,3.44
187,3.08,3.12,3.35,3.45
188,3.08,3.12,3.35,3.46
189,3.08,3.13,3.36,3.46
190,3.09,3.13,3.36,3.47
191,3.09,3.14,3.37,3.48
192,3.09,3.14,3.37,3.49
193,3.1,3.15,3.38,3.5
194,3.1,3.15,3.39,3.5
195,3.1,3.16,3.39,3.51
196,3.11,3.16,3.4,3.52
197,3.11,3.17,3.4,3.53
198,3.11,3.18,3.41,3.53
199,3.12,3.18,3.41,3.54
200,3.12,3.19,3.42,3.55
201,3.12,3.19,3.42,3.56
202,3.13,3.2,3.43,3.57
203,3.13,3.21,3.43,3.57
204,3.13,3.21,3.44,3.58
205,3.13,3.22,3.45,3.59
206,3.14,3.23,3.45,3.6
207,3.14,3.23,3.46,3.6
208,3.14,3.24,3.46,3.61
209,3.14,3.25,3.47,3.62
210,3.15,3.25,3.48,3.63
211,3.15,3.26,3.48,3.63
212,3.15,3.27,3.49,3.64
213,3.15,3.27,3.49,3.65
214,3.16,3.28,3.5,3.66
215,3.16,3.29,3.5,3.66
216,3.16,3.29,3.51,3.67
217,3.16,3.3,3.51,3.68
218,3.17,3.31,3.52,3.69
219,3.17,3.31,3.52,3.69
